Liczba węzłów,Błąd maksymalny dla Hermita,Błąd średni dla Hermita
2,3.53054e+01,4.69993e-01
3,3.40732e+01,2.44482e-01
4,3.90468e+01,4.18067e-01
5,3.16099e+01,2.60044e-01
6,1.80486e+01,2.20421e-01
7,2.24680e+01,1.32765e-01
8,1.74098e+01,5.47008e-02
9,7.43810e+00,1.69359e-02
10,2.18089e+00,4.15567e-03
11,4.79325e-01,8.24963e-04
12,8.29747e-02,1.34138e-04
13,1.16874e-02,1.81026e-05
14,1.37138e-03,2.05639e-06
15,1.36486e-04,1.99299e-07
16,1.16886e-05,1.67160e-08
17,8.71590e-07,2.23822e-09
18,1.17646e-06,3.83755e-09
19,1.32220e-06,4.07766e-09
20,2.00640e-06,6.06521e-09
21,4.21390e-06,9.65424e-09
22,5.82225e-06,1.32670e-08
23,3.47052e-06,1.19156e-08
24,7.33806e-06,1.61286e-08
25,1.01539e-05,2.31917e-08
26,8.77014e-06,2.77620e-08
27,1.47634e-05,3.89114e-08
28,2.67134e-05,6.57292e-08
29,3.08517e-05,7.76120e-08
30,7.18514e-03,1.63554e-05
31,5.70720e-02,1.01073e-04
32,3.06736e-01,8.43329e-04
33,3.30345e+00,6.78801e-03
34,4.16975e+01,7.58614e-02
35,7.44379e+01,1.61865e-01
