m,n=5,n=8,n=10,n=12,n=15,n=18,n=20,n=24,n=28,n=30,n=40,n=50,n=60
2,2.00e-01,1.99e-01,1.66e-01,1.65e-01,1.64e-01,1.64e-01,1.64e-01,1.64e-01,1.64e-01,1.64e-01,1.64e-01,1.64e-01,1.64e-01
3,-,2.17e-01,1.66e-01,1.63e-01,1.62e-01,1.62e-01,1.62e-01,1.62e-01,1.62e-01,1.62e-01,1.62e-01,1.62e-01,1.62e-01
4,-,-,1.66e-01,1.19e-01,1.17e-01,1.16e-01,1.16e-01,1.16e-01,1.16e-01,1.16e-01,1.16e-01,1.16e-01,1.16e-01
5,-,-,-,5.00e-02,3.65e-02,3.42e-02,3.35e-02,3.30e-02,3.27e-02,3.27e-02,3.26e-02,3.26e-02,3.26e-02
6,-,-,-,-,2.87e-02,2.42e-02,2.30e-02,2.20e-02,2.16e-02,2.15e-02,2.13e-02,2.12e-02,2.12e-02
7,-,-,-,-,2.89e-02,2.09e-02,1.92e-02,1.76e-02,1.70e-02,1.68e-02,1.65e-02,1.64e-02,1.64e-02
8,-,-,-,-,-,2.02e-02,1.75e-02,1.53e-02,1.45e-02,1.43e-02,1.38e-02,1.37e-02,1.36e-02
9,-,-,-,-,-,-,1.71e-02,1.41e-02,1.30e-02,1.27e-02,1.21e-02,1.19e-02,1.19e-02
10,-,-,-,-,-,-,-,1.34e-02,1.20e-02,1.16e-02,1.09e-02,1.07e-02,1.07e-02
11,-,-,-,-,-,-,-,1.32e-02,1.14e-02,1.09e-02,1.01e-02,9.85e-03,9.78e-03
13,-,-,-,-,-,-,-,-,1.09e-02,1.02e-02,8.94e-03,8.66e-03,8.58e-03
14,-,-,-,-,-,-,-,-,-,1.01e-02,8.57e-03,8.26e-03,8.16e-03
16,-,-,-,-,-,-,-,-,-,-,8.07e-03,7.66e-03,7.55e-03
19,-,-,-,-,-,-,-,-,-,-,7.73e-03,7.12e-03,6.97e-03
24,-,-,-,-,-,-,-,-,-,-,-,6.77e-03,6.51e-03
29,-,-,-,-,-,-,-,-,-,-,-,-,6.38e-03
